"","Family","Species","New.Genus","New.Species"
"234","Malvaceae","Abutilon fruticosum","Abutilon","fruticosum"
"238","Malvaceae","Abutilon hirtum","Abutilon","hirtum"
"242","Malvaceae","Abutilon hybridum","Abutilon","hybridum"
"244","Malvaceae","Abutilon incanum","Abutilon","incanum"
"251","Malvaceae","Abutilon mauritianum","Abutilon","mauritianum"
"252","Malvaceae","Abutilon menziesii","Abutilon","menziesii"
"253","Malvaceae","Abutilon oxycarpum","Abutilon","oxycarpum"
"254","Malvaceae","Abutilon pannosum","Abutilon","pannosum"
"255","Malvaceae","Abutilon pictum","Abutilon","pictum"
"273","Malvaceae","Corynabutilon vitifolium","Corynabutilon","vitifolium"
"274","Leguminosae","Acacia abyssinica","Acacia","abyssinica"
"277","Leguminosae","Acacia acanthoclada","Acacia","acanthoclada"
"278","Leguminosae","Acacia angustissima","Acacia","angustissima"
"279","Leguminosae","Acacia argyrophylla","Acacia","argyrophylla"
"280","Leguminosae","Acacia asak","Acacia","asak"
"281","Leguminosae","Acacia aulacocarpa","Acacia","aulacocarpa"
"282","Leguminosae","Acacia auriculiformis","Acacia","auriculiformis"
"293","Leguminosae","Acacia baileyana","Acacia","baileyana"
"299","Leguminosae","Acacia browniana","Acacia","browniana"
"300","Leguminosae","Acacia brownii","Acacia","brownii"
"301","Leguminosae","Acacia caffra","Acacia","caffra"
"303","Leguminosae","Acacia catechu","Acacia","catechu"
"307","Leguminosae","Acacia cincinnata","Acacia","cincinnata"
"308","Leguminosae","Acacia cochlearis","Acacia","cochlearis"
"310","Leguminosae","Acacia cochliacantha","Acacia","cochliacantha"
"311","Leguminosae","Acacia concurrens","Acacia","concurrens"
"313","Leguminosae","Acacia confusa","Acacia","confusa"
"321","Leguminosae","Acacia crassicarpa","Acacia","crassicarpa"
"322","Leguminosae","Acacia cultriformis","Acacia","cultriformis"
"327","Leguminosae","Acacia saligna","Acacia","saligna"
"331","Leguminosae","Acacia cyclops","Acacia","cyclops"
"334","Leguminosae","Acacia dealbata","Acacia","dealbata"
"348","Leguminosae","Acacia decurrens","Acacia","decurrens"
"363","Leguminosae","Acacia dodonaeifolia","Acacia","dodonaeifolia"
"364","Leguminosae","Acacia eburnea","Acacia","eburnea"
"365","Leguminosae","Acacia elata","Acacia","elata"
"366","Leguminosae","Acacia farnesiana","Acacia","farnesiana"
"378","Leguminosae","Acacia ferruginea","Acacia","ferruginea"
"379","Leguminosae","Acacia floribunda","Acacia","floribunda"
"381","Leguminosae","Acacia glaucocarpa","Acacia","glaucocarpa"
"383","Leguminosae","Acacia greggii","Acacia","greggii"
"384","Leguminosae","Acacia gummifera","Acacia","gummifera"
"385","Leguminosae","Acacia harpophylla","Acacia","harpophylla"
"387","Leguminosae","Acacia heterophylla","Acacia","heterophylla"
"389","Leguminosae","Acacia hispidula","Acacia","hispidula"
"390","Leguminosae","Acacia holosericea","Acacia","holosericea"
"393","Leguminosae","Acacia horrida","Acacia","horrida"
"394","Leguminosae","Acacia howittii","Acacia","howittii"
"395","Leguminosae","Acacia insulae-iacobi","Acacia","insulae-iacobi"
"396","Leguminosae","Acacia karroo","Acacia","karroo"
"402","Leguminosae","Acacia koa","Acacia","koa"
"413","Leguminosae","Acacia latifolia","Acacia","latifolia"
"414","Leguminosae","Acacia leucophloea","Acacia","leucophloea"
"416","Leguminosae","Acacia linifolia","Acacia","linifolia"
"417","Leguminosae","Acacia longifolia","Acacia","longifolia"
"429","Leguminosae","Acacia macracantha","Acacia","macracantha"
"431","Leguminosae","Acacia mangium","Acacia","mangium"
"435","Leguminosae","Acacia mearnsii","Acacia","mearnsii"
"456","Leguminosae","Acacia melanoxylon","Acacia","melanoxylon"
"470","Leguminosae","Acacia mellifera","Acacia","mellifera"
"472","Leguminosae","Acacia modesta","Acacia","modesta"
"475","Leguminosae","Acacia pubescens","Acacia","pubescens"
"479","Leguminosae","Acacia mucronata","Acacia","mucronata"
"480","Leguminosae","Acacia myrtifolia","Acacia","myrtifolia"
"482","Leguminosae","Acacia nematophylla","Acacia","nematophylla"
"483","Leguminosae","Acacia nilotica","Acacia","nilotica"
"505","Leguminosae","Acacia omalophylla","Acacia","omalophylla"
"506","Leguminosae","Acacia oshanesii","Acacia","oshanesii"
"511","Leguminosae","Acacia pennata","Acacia","pennata"
"512","Leguminosae","Acacia podalyriifolia","Acacia","podalyriifolia"
"515","Leguminosae","Acacia polyacantha","Acacia","polyacantha"
"517","Leguminosae","Acacia polystachya","Acacia","polystachya"
"519","Leguminosae","Acacia pravissima","Acacia","pravissima"
"521","Leguminosae","Acacia pruinosa","Acacia","pruinosa"
"527","Leguminosae","Acacia pulchella","Acacia","pulchella"
"528","Leguminosae","Acacia pycnantha","Acacia","pycnantha"
"530","Leguminosae","Acacia retinodes","Acacia","retinodes"
"531","Leguminosae","Acacia riceana","Acacia","riceana"
"532","Leguminosae","Acacia rorudiana","Acacia","rorudiana"
"533","Leguminosae","Acacia rostellifera","Acacia","rostellifera"
"546","Leguminosae","Acacia senegal","Acacia","senegal"
"548","Leguminosae","Acacia seyal","Acacia","seyal"
"550","Leguminosae","Acacia simplex","Acacia","simplex"
"553","Leguminosae","Acacia spectabilis","Acacia","spectabilis"
"554","Leguminosae","Acacia spirorbis","Acacia","spirorbis"
"557","Leguminosae","Acacia synchronicia","Acacia","synchronicia"
"559","Leguminosae","Acacia tortilis","Acacia","tortilis"
"561","Leguminosae","Acacia ulicifolia","Acacia","ulicifolia"
"562","Leguminosae","Acacia urophylla","Acacia","urophylla"
"563","Leguminosae","Acacia verticillata","Acacia","verticillata"
"565","Rosaceae","Acaena argentea","Acaena","argentea"
"566","Rosaceae","Acaena novae-zelandiae","Acaena","novae-zelandiae"
"567","Euphorbiaceae","Acalypha abingdonii","Acalypha","abingdonii"
"568","Euphorbiaceae","Acalypha alopecuroides","Acalypha","alopecuroides"
"569","Euphorbiaceae","Acalypha aristata","Acalypha","aristata"
"573","Euphorbiaceae","Acalypha australis","Acalypha","australis"
"576","Euphorbiaceae","Acalypha ciliata","Acalypha","ciliata"
"578","Euphorbiaceae","Acalypha cuneata","Acalypha","cuneata"
"579","Euphorbiaceae","Acalypha diversifolia","Acalypha","diversifolia"
"580","Euphorbiaceae","Acalypha grandis","Acalypha","grandis"
"582","Euphorbiaceae","Acalypha hispida","Acalypha","hispida"
"588","Euphorbiaceae","Acalypha indica","Acalypha","indica"
"597","Euphorbiaceae","Acalypha parvula","Acalypha","parvula"
"598","Euphorbiaceae","Acalypha segetalis","Acalypha","segetalis"
"599","Euphorbiaceae","Acalypha setosa","Acalypha","setosa"
"601","Euphorbiaceae","Acalypha virginica","Acalypha","virginica"
"603","Euphorbiaceae","Acalypha wigginsii","Acalypha","wigginsii"
"604","Euphorbiaceae","Acalypha wilkesiana","Acalypha","wilkesiana"
"616","Araliaceae","Eleutherococcus senticosus","Eleutherococcus","senticosus"
"618","Araliaceae","Eleutherococcus sessiliflorus","Eleutherococcus","sessiliflorus"
"619","Araliaceae","Eleutherococcus sieboldianus","Eleutherococcus","sieboldianus"
"620","Compositae","Acanthospermum australe","Acanthospermum","australe"
"621","Compositae","Acanthospermum hispidum","Acanthospermum","hispidum"
"625","Acanthaceae","Acanthus ilicifolius","Acanthus","ilicifolius"
"628","Acanthaceae","Acanthus mollis","Acanthus","mollis"
"630","Acanthaceae","Acanthus dioscoridis","Acanthus","dioscoridis"
"631","Myrtaceae","Acca sellowiana","Acca","sellowiana"
"642","Sapindaceae","Acer buergerianum","Acer","buergerianum"
"646","Sapindaceae","Acer campestre","Acer","campestre"
"669","Sapindaceae","Acer capillipes","Acer","capillipes"
"670","Sapindaceae","Acer cappadocicum","Acer","cappadocicum"
"671","Sapindaceae","Acer caudatum","Acer","caudatum"
"672","Sapindaceae","Acer circinatum","Acer","circinatum"
"679","Sapindaceae","Acer cissifolium","Acer","cissifolium"
"680","Sapindaceae","Acer crataegifolium","Acer","crataegifolium"
"681","Sapindaceae","Acer saccharinum","Acer","saccharinum"
"682","Sapindaceae","Acer glabrum","Acer","glabrum"
"683","Sapindaceae","Acer tataricum","Acer","tataricum"
"688","Sapindaceae","Acer saccharum","Acer","saccharum"
"689","Sapindaceae","Acer hyrcanum","Acer","hyrcanum"
"690","Sapindaceae","Acer japonicum","Acer","japonicum"
"698","Sapindaceae","Acer macrophyllum","Acer","macrophyllum"
"712","Sapindaceae","Acer monspessulanum","Acer","monspessulanum"
"715","Sapindaceae","Acer caudatifolium","Acer","caudatifolium"
"716","Sapindaceae","Acer negundo","Acer","negundo"
"760","Vitaceae","Parthenocissus tricuspidata","Parthenocissus","tricuspidata"
"761","Sapindaceae","Acer oblongum","Acer","oblongum"
"762","Sapindaceae","Acer opalus","Acer","opalus"
"763","Sapindaceae","Acer palmatum","Acer","palmatum"
"786","Sapindaceae","Acer pensylvanicum","Acer","pensylvanicum"
"791","Sapindaceae","Acer pictum","Acer","pictum"
"794","Sapindaceae","Acer pilosum","Acer","pilosum"
"795","Sapindaceae","Acer platanoides","Acer","platanoides"
"828","Sapindaceae","Acer pseudoplatanus","Acer","pseudoplatanus"
"861","Sapindaceae","Acer pycnanthum","Acer","pycnanthum"
"862","Sapindaceae","Acer rubrum","Acer","rubrum"
"887","Sapindaceae","Acer rufinerve","Acer","rufinerve"
"935","Sapindaceae","Acer sieboldianum","Acer","sieboldianum"
"938","Sapindaceae","Acer spicatum","Acer","spicatum"
"944","Sapindaceae","Acer tegmentosum","Acer","tegmentosum"
"945","Sapindaceae","Acer truncatum","Acer","truncatum"
"950","Sapindaceae","Acer tschonoskii","Acer","tschonoskii"
"952","Sapindaceae","Acer velutinum","Acer","velutinum"
"953","Compositae","Achillea filipendulina","Achillea","filipendulina"
"955","Compositae","Achillea millefolium","Achillea","millefolium"
"966","Sapotaceae","Manilkara zapota","Manilkara","zapota"
"973","Amaranthaceae","Achyranthes aspera","Achyranthes","aspera"
"985","Amaranthaceae","Achyranthes bidentata","Achyranthes","bidentata"
"986","Amaranthaceae","Amaranthus tamariscinus","Amaranthus","tamariscinus"
"987","Arecaceae","Acoelorrhaphe wrightii","Acoelorrhaphe","wrightii"
"989","Apocynaceae","Acokanthera oblongifolia","Acokanthera","oblongifolia"
"990","Apocynaceae","Acokanthera oppositifolia","Acokanthera","oppositifolia"
"991","Apocynaceae","Acokanthera schimperi","Acokanthera","schimperi"
"994","Ranunculaceae","Aconitum barbatum","Aconitum","barbatum"
"995","Ranunculaceae","Aconitum carmichaelii","Aconitum","carmichaelii"
"996","Ranunculaceae","Aconitum napellus","Aconitum","napellus"
"999","Acoraceae","Acorus calamus","Acorus","calamus"
"1003","Acoraceae","Acorus gramineus","Acorus","gramineus"
"1005","Poaceae","Acrachne racemosa","Acrachne","racemosa"
"1006","Leguminosae","Acrocarpus fraxinifolius","Acrocarpus","fraxinifolius"
"1008","Lamiaceae","Haumaniastrum villosum","Haumaniastrum","villosum"
"1010","Lamiaceae","Platostoma hispidum","Platostoma","hispidum"
"1011","Arecaceae","Acrocomia crispa","Acrocomia","crispa"
"1012","Compositae","Rhaponticum repens","Rhaponticum","repens"
"1013","Pteridaceae","Acrostichum aureum","Acrostichum","aureum"
"1016","Actinidiaceae","Actinidia arguta","Actinidia","arguta"
"1032","Actinidiaceae","Actinidia callosa","Actinidia","callosa"
"1033","Actinidiaceae","Actinidia chinensis","Actinidia","chinensis"
"1097","Actinidiaceae","Actinidia deliciosa","Actinidia","deliciosa"
"1153","Actinidiaceae","Actinidia kolomikta","Actinidia","kolomikta"
"1155","Actinidiaceae","Actinidia eriantha","Actinidia","eriantha"
"1156","Actinidiaceae","Actinidia polygama","Actinidia","polygama"
"1160","Apiaceae","Actinolema eryngioides","Actinolema","eryngioides"
"1161","Compositae","Verbesina coreopsis","Verbesina","coreopsis"
"1162","Cucurbitaceae","Actinostemma paniculatum","Actinostemma","paniculatum"
"1163","Malvaceae","Adansonia digitata","Adansonia","digitata"
"1171","Malvaceae","Adansonia gregorii","Adansonia","gregorii"
"1172","Malvaceae","Adansonia za","Adansonia","za"
"1173","Leguminosae","Adenanthera pavonina","Adenanthera","pavonina"
"1174","Passifloraceae","Adenia glauca","Adenia","glauca"
"1175","Passifloraceae","Adenia globosa","Adenia","globosa"
"1176","Apocynaceae","Adenium obesum","Adenium","obesum"
"1182","Compositae","Adenocaulon bicolor","Adenocaulon","bicolor"
"1183","Cucurbitaceae","Adenopus longiflorus","Adenopus","longiflorus"
"1184","Rosaceae","Adenostoma fasciculatum","Adenostoma","fasciculatum"
"1186","Acanthaceae","Justicia adhatoda","Justicia","adhatoda"
"1189","Pteridaceae","Adiantum capillus-veneris","Adiantum","capillus-veneris"
"1192","Pteridaceae","Adiantum intermedium","Adiantum","intermedium"
"1193","Pteridaceae","Adiantum pedatum","Adiantum","pedatum"
"1194","Rubiaceae","Haldina cordifolia","Haldina","cordifolia"
"1195","Arecaceae","Adonidia merrillii","Adonidia","merrillii"
"1196","Crassulaceae","Adromischus cristatus","Adromischus","cristatus"
"1197","Bromeliaceae","Aechmea fasciata","Aechmea","fasciata"
"1203","Bromeliaceae","Aechmea miniata","Aechmea","miniata"
"1204","Bromeliaceae","Aechmea tricolor","Aechmea","tricolor"
"1205","Primulaceae","Aegiceras corniculatum","Aegiceras","corniculatum"
"1206","Poaceae","Aegilops crassa","Aegilops","crassa"
"1207","Poaceae","Aegilops cylindrica","Aegilops","cylindrica"
"1211","Poaceae","Aegilops juvenalis","Aegilops","juvenalis"
"1213","Poaceae","Aegilops neglecta","Aegilops","neglecta"
"1218","Poaceae","Aegilops triuncialis","Aegilops","triuncialis"
"1224","Poaceae","Aegilops uniaristata","Aegilops","uniaristata"
"1226","Poaceae","Aegilops ventricosa","Aegilops","ventricosa"
"1228","Rutaceae","Aegle marmelos","Aegle","marmelos"
"1242","Rutaceae","Aeglopsis chevalieri","Aeglopsis","chevalieri"
"1243","Apiaceae","Aegopodium podagraria","Aegopodium","podagraria"
"1245","Poaceae","Aeluropus littoralis","Aeluropus","littoralis"
"1246","Lamiaceae","Aeollanthus myrianthus","Aeollanthus","myrianthus"
"1247","Crassulaceae","Aeonium arboreum","Aeonium","arboreum"
"1249","Crassulaceae","Aeonium balsamiferum","Aeonium","balsamiferum"
"1251","Orchidaceae","Aerides crispum","Aerides","crispum"
"1252","Amaranthaceae","Aerva javanica","Aerva","javanica"
"1256","Amaranthaceae","Aerva lanata","Aerva","lanata"
"1259","Amaranthaceae","Aerva leucura","Aerva","leucura"
"1260","Amaranthaceae","Aerva sanguinolenta","Aerva","sanguinolenta"
"1261","Gesneriaceae","Aeschynanthus speciosus","Aeschynanthus","speciosus"
"1264","Leguminosae","Aeschynomene abyssinica","Aeschynomene","abyssinica"
"1265","Leguminosae","Aeschynomene americana","Aeschynomene","americana"
"1276","Leguminosae","Aeschynomene brasiliana","Aeschynomene","brasiliana"
"1277","Leguminosae","Aeschynomene indica","Aeschynomene","indica"
"1279","Leguminosae","Aeschynomene minutiflora","Aeschynomene","minutiflora"
"1280","Leguminosae","Aeschynomene paniculata","Aeschynomene","paniculata"
"1281","Leguminosae","Aeschynomene rhodesica","Aeschynomene","rhodesica"
"1282","Leguminosae","Aeschynomene scabra","Aeschynomene","scabra"
"1283","Leguminosae","Aeschynomene sensitiva","Aeschynomene","sensitiva"
"1284","Leguminosae","Aeschynomene virginica","Aeschynomene","virginica"
"1285","Sapindaceae","Aesculus californica","Aesculus","californica"
"1288","Sapindaceae","Aesculus carnea","Aesculus","carnea"
"1289","Sapindaceae","Aesculus flava","Aesculus","flava"
"1290","Sapindaceae","Aesculus glabra","Aesculus","glabra"
"1293","Sapindaceae","Aesculus hippocastanum","Aesculus","hippocastanum"
"1328","Sapindaceae","Aesculus indica","Aesculus","indica"
"1330","Sapindaceae","Aesculus pavia","Aesculus","pavia"
"1339","Sapindaceae","Aesculus turbinata","Aesculus","turbinata"
"1342","Loranthaceae","Aetanthus mutisii","Aetanthus","mutisii"
"1343","Brassicaceae","Aethionema grandiflorum","Aethionema","grandiflorum"
"1344","Apiaceae","Aethusa cynapium","Aethusa","cynapium"
"1346","Rutaceae","Afraegle paniculata","Afraegle","paniculata"
"1348","Zingiberaceae","Aframomum cereum","Aframomum","cereum"
"1349","Podocarpaceae","Afrocarpus falcatus","Afrocarpus","falcatus"
"1352","Leguminosae","Pericopsis angolensis","Pericopsis","angolensis"
"1353","Leguminosae","Afzelia quanzensis","Afzelia","quanzensis"
"1354","Apocynaceae","Aganosma caryophyllata","Aganosma","caryophyllata"
"1355","Amaryllidaceae","Agapanthus africanus","Agapanthus","africanus"
"1358","Amaryllidaceae","Agapanthus praecox","Agapanthus","praecox"
"1360","Lamiaceae","Agastache cana","Agastache","cana"
"1362","Lamiaceae","Agastache rugosa","Agastache","rugosa"
"1366","Araucariaceae","Agathis alba","Agathis","alba"
"1367","Araucariaceae","Agathis australis","Agathis","australis"
"1368","Araucariaceae","Agathis lanceolata","Agathis","lanceolata"
"1369","Araucariaceae","Agathis moorei","Agathis","moorei"
"1370","Araucariaceae","Agathis robusta","Agathis","robusta"
"1371","Rutaceae","Agathosma betulina","Agathosma","betulina"
"1374","Ericaceae","Agarista salicifolia","Agarista","salicifolia"
"1375","Asparagaceae","Agave americana","Agave","americana"
"1389","Asparagaceae","Agave atrovirens","Agave","atrovirens"
"1390","Asparagaceae","Agave attenuata","Agave","attenuata"
"1391","Asparagaceae","Agave cantala","Agave","cantala"
"1392","Asparagaceae","Agave fourcroydes","Agave","fourcroydes"
"1394","Asparagaceae","Agave vivipara","Agave","vivipara"
"1395","Asparagaceae","Agave palmeri","Agave","palmeri"
"1396","Asparagaceae","Agave sisalana","Agave","sisalana"
"1416","Asparagaceae","Agave vera-cruz","Agave","vera-cruz"
"1417","Asparagaceae","Agave victoriae-reginae","Agave","victoriae-reginae"
"1420","Compositae","Ageratina adenophora","Ageratina","adenophora"
"1424","Compositae","Ageratina altissima","Ageratina","altissima"
"1425","Compositae","Ageratum conyzoides","Ageratum","conyzoides"
"1443","Compositae","Ageratum corymbosum","Ageratum","corymbosum"
"1444","Compositae","Ageratum houstonianum","Ageratum","houstonianum"
"1455","Meliaceae","Aglaia odorata","Aglaia","odorata"
"1456","Araceae","Aglaonema commutatum","Aglaonema","commutatum"
"1459","Araceae","Aglaonema crispum","Aglaonema","crispum"
"1460","Araceae","Aglaonema modestum","Aglaonema","modestum"
"1462","Araceae","Aglaonema simplex","Aglaonema","simplex"
"1463","Myrtaceae","Agonis flexuosa","Agonis","flexuosa"
"1466","Rosaceae","Agrimonia pubescens","Agrimonia","pubescens"
"1467","Poaceae","Elymus reflexiaristatus","Elymus","reflexiaristatus"
"1468","Poaceae","Agropyron cristatum","Agropyron","cristatum"
"1484","Poaceae","Agropyron desertorum","Agropyron","desertorum"
"1489","Poaceae","Agropyron fragile","Agropyron","fragile"
"1491","Poaceae","Elymus lanceolatus","Elymus","lanceolatus"
"1501","Poaceae","Elymus hispidus","Elymus","hispidus"
"1503","Poaceae","Agropyron mongolicum","Agropyron","mongolicum"
"1505","Poaceae","Elymus caninus","Elymus","caninus"
"1507","Poaceae","Elymus pungens","Elymus","pungens"
"1509","Poaceae","Elymus repens","Elymus","repens"
"1516","Poaceae","Elymus scabrus","Elymus","scabrus"
"1519","Poaceae","Elymus smithii","Elymus","smithii"
"1524","Poaceae","Elymus trachycaulus","Elymus","trachycaulus"
"1529","Caryophyllaceae","Agrostemma githago","Agrostemma","githago"
"1531","Poaceae","Poa nemoralis","Poa","nemoralis"
"1532","Poaceae","Agrostis capillaris","Agrostis","capillaris"
"1534","Poaceae","Agrostis gigantea","Agrostis","gigantea"
"1539","Poaceae","Agrostis stolonifera","Agrostis","stolonifera"
"1540","Poaceae","Agrostis perennans","Agrostis","perennans"
"1541","Poaceae","Agrostis scabra","Agrostis","scabra"
"1556","Simaroubaceae","Ailanthus altissima","Ailanthus","altissima"
"1576","Simaroubaceae","Ailanthus excelsa","Ailanthus","excelsa"
"1589","Poaceae","Aira caryophyllea","Aira","caryophyllea"
"1591","Lamiaceae","Ajuga reptans","Ajuga","reptans"
"1597","Lardizabalaceae","Akebia quinata","Akebia","quinata"
"1599","Lardizabalaceae","Akebia trifoliata","Akebia","trifoliata"
"1600","Cornaceae","Alangium chinense","Alangium","chinense"
"1601","Cornaceae","Alangium salviifolium","Alangium","salviifolium"
"1602","Cornaceae","Alangium platanifolium","Alangium","platanifolium"
"1603","Leguminosae","Albizia anthelmintica","Albizia","anthelmintica"
"1604","Leguminosae","Albizia chinensis","Albizia","chinensis"
"1608","Leguminosae","Paraserianthes lophantha","Paraserianthes","lophantha"
"1609","Leguminosae","Falcataria moluccana","Falcataria","moluccana"
"1612","Leguminosae","Albizia gummifera","Albizia","gummifera"
"1613","Leguminosae","Albizia julibrissin","Albizia","julibrissin"
"1645","Leguminosae","Albizia lebbeck","Albizia","lebbeck"
"1673","Leguminosae","Albizia lucidior","Albizia","lucidior"
"1678","Leguminosae","Albizia niopoides","Albizia","niopoides"
"1680","Leguminosae","Albizia procera","Albizia","procera"
"1683","Leguminosae","Albizia saman","Albizia","saman"
"1693","Leguminosae","Albizia schimperiana","Albizia","schimperiana"
"1695","Leguminosae","Albizia carbonaria","Albizia","carbonaria"
"1697","Asparagaceae","Albuca abyssinica","Albuca","abyssinica"
"1698","Malvaceae","Alcea nikitinii","Alcea","nikitinii"
"1699","Malvaceae","Alcea rosea","Alcea","rosea"
"1719","Rosaceae","Alchemilla cryptantha","Alchemilla","cryptantha"
"1720","Rosaceae","Alchemilla mollis","Alchemilla","mollis"
"1721","Euphorbiaceae","Alchornea cordifolia","Alchornea","cordifolia"
"1723","Euphorbiaceae","Alchornea liukiuensis","Alchornea","liukiuensis"
"1724","Euphorbiaceae","Alchornea trewioides","Alchornea","trewioides"
"1725","Sapindaceae","Alectryon coriaceus","Alectryon","coriaceus"
"1726","Sapindaceae","Alectryon excelsus","Alectryon","excelsus"
"1730","Sapindaceae","Alectryon tomentosum","Alectryon","tomentosum"
"1731","Euphorbiaceae","Aleurites cordata","Aleurites","cordata"
"1733","Euphorbiaceae","Vernicia fordii","Vernicia","fordii"
"1741","Euphorbiaceae","Aleurites moluccanus","Aleurites","moluccanus"
"1743","Euphorbiaceae","Vernicia montana","Vernicia","montana"
"1745","Euphorbiaceae","Aleurites triloba","Aleurites","triloba"
"1746","Leguminosae","Alhagi canescens","Alhagi","canescens"
"1747","Leguminosae","Alhagi maurorum","Alhagi","maurorum"
"1752","Alismataceae","Alisma plantago-aquatica","Alisma","plantago-aquatica"
"1753","Apocynaceae","Allamanda blanchetii","Allamanda","blanchetii"
"1755","Apocynaceae","Allamanda cathartica","Allamanda","cathartica"
"1759","Amaranthaceae","Allenrolfea occidentalis","Allenrolfea","occidentalis"
"1761","Brassicaceae","Alliaria petiolata","Alliaria","petiolata"
"1766","Amaryllidaceae","Allium ampeloprasum","Allium","ampeloprasum"
"1780","Amaryllidaceae","Allium angulosum","Allium","angulosum"
"1781","Amaryllidaceae","Allium ascalonicum","Allium","ascalonicum"
"1789","Amaryllidaceae","Allium caeruleum","Allium","caeruleum"
"1790","Amaryllidaceae","Allium canadense","Allium","canadense"
"1793","Amaryllidaceae","Allium cepa","Allium","cepa"
"1882","Amaryllidaceae","Allium chinense","Allium","chinense"
"1885","Amaryllidaceae","Allium fistulosum","Allium","fistulosum"
"1901","Amaryllidaceae","Allium galanthum","Allium","galanthum"
"1902","Amaryllidaceae","Allium giganteum","Allium","giganteum"
"1906","Amaryllidaceae","Allium macrostemon","Allium","macrostemon"
"1907","Amaryllidaceae","Allium moly","Allium","moly"
"1908","Amaryllidaceae","Allium oleraceum","Allium","oleraceum"
"1909","Amaryllidaceae","Allium oreophilum","Allium","oreophilum"
"1924","Amaryllidaceae","Allium sacculiferum","Allium","sacculiferum"
"1925","Amaryllidaceae","Allium sativum","Allium","sativum"
"1980","Amaryllidaceae","Allium schoenoprasum","Allium","schoenoprasum"
"1987","Amaryllidaceae","Allium sphaerocephalon","Allium","sphaerocephalon"
"1988","Amaryllidaceae","Allium sphaerocephalum","Allium","sphaerocephalum"
"1989","Amaryllidaceae","Allium thunbergii","Allium","thunbergii"
"1990","Amaryllidaceae","Allium triquetrum","Allium","triquetrum"
"1991","Amaryllidaceae","Allium tuberosum","Allium","tuberosum"
"2000","Amaryllidaceae","Allium ursinum","Allium","ursinum"
"2001","Amaryllidaceae","Allium vavilovii","Allium","vavilovii"
"2002","Amaryllidaceae","Allium victorialis","Allium","victorialis"
"2003","Amaryllidaceae","Allium vineale","Allium","vineale"
"2004","Casuarinaceae","Allocasuarina decussata","Allocasuarina","decussata"
"2005","Casuarinaceae","Allocasuarina fraseriana","Allocasuarina","fraseriana"
"2006","Casuarinaceae","Allocasuarina verticillata","Allocasuarina","verticillata"
"2007","Sapindaceae","Allophylus aldabricus","Allophylus","aldabricus"
"2008","Sapindaceae","Allophylus pervillei","Allophylus","pervillei"
"2009","Betulaceae","Alnus cremastogyne","Alnus","cremastogyne"
"2010","Betulaceae","Alnus alnobetula","Alnus","alnobetula"
"2012","Betulaceae","Alnus firma","Alnus","firma"
"2013","Betulaceae","Alnus formosana","Alnus","formosana"
"2016","Betulaceae","Alnus glutinosa","Alnus","glutinosa"
"2044","Betulaceae","Alnus hirsuta","Alnus","hirsuta"
"2046","Betulaceae","Alnus incana","Alnus","incana"
"2065","Betulaceae","Alnus japonica","Alnus","japonica"
"2073","Betulaceae","Alnus mandshurica","Alnus","mandshurica"
